Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Sneha Joshi,Google,Australia,3744,14644,11,4,49,2,2,4,12,387,61,13,254,9.11,14-01-2024,Weekly,Text,11,1,2,Tech,Positive,47.16
Aditi Chauhan,Freelancer,UK,627,12156,10,2,25,3,0,3,7,134,80,24,169,3.42,15-01-2024,Daily,Text,27,0,0,Consulting,Neutral,58.69
Neha Malhotra,Google,USA,2044,6826,2,3,19,5,3,4,18,267,42,40,79,0.58,16-01-2024,Weekly,Article,4,2,0,Tech,Positive,42.9
Neha Malhotra,Tesla,USA,4569,19316,6,2,25,5,0,3,5,374,85,25,24,6.19,17-01-2024,Monthly,Image,27,1,2,Consulting,Neutral,33.96
Swati Rajan,Amazon,India,4380,14025,14,4,38,8,4,1,18,16,94,36,106,1.02,18-01-2024,Rarely,Text,25,3,1,Consulting,Positive,98.93
Rahul Mishra,Freelancer,India,4765,3340,12,2,46,8,2,3,1,272,30,13,415,9.71,19-01-2024,Weekly,Image,14,2,0,Healthcare,Negative,83.36
Rajesh Gupta,Tesla,USA,4343,3598,4,4,6,7,2,2,4,337,75,7,213,7.86,20-01-2024,Monthly,Image,27,2,0,Education,Positive,67.33
Rohan Iyer,Freelancer,Germany,3091,15391,11,1,29,3,4,4,12,146,63,35,229,9.78,21-01-2024,Monthly,Image,28,0,2,Tech,Positive,84.72
Divya Menon,Freelancer,India,4237,6367,2,4,48,4,1,3,15,476,93,33,392,7.98,22-01-2024,Daily,Text,10,3,0,Marketing,Neutral,98.06
Nidhi Goel,Freelancer,UK,1187,14847,6,1,41,0,3,4,7,275,87,3,261,6.81,23-01-2024,Weekly,Video,20,4,1,Marketing,Negative,13.46
Nidhi Goel,Google,Germany,201,19279,11,3,30,0,1,4,17,21,22,2,168,6.14,24-01-2024,Monthly,Image,1,3,2,Consulting,Positive,23.22
Siddharth Pandey,Microsoft,Canada,1431,9372,4,2,7,2,0,2,9,497,6,14,205,6.87,25-01-2024,Monthly,Image,19,1,0,Education,Neutral,96.04
Rohan Iyer,Google,Canada,2721,259,11,1,9,2,2,4,11,16,81,38,285,9.55,26-01-2024,Weekly,Article,8,0,2,Marketing,Neutral,5.44
Pallavi Thakur,Tesla,UK,1477,18141,9,2,27,6,3,2,6,304,17,43,48,8.53,27-01-2024,Monthly,Image,18,0,0,Marketing,Neutral,85.29
Simran Kaur,Tesla,India,765,3625,3,2,12,3,2,2,6,93,52,13,288,1.84,28-01-2024,Weekly,Article,8,0,2,Education,Positive,70.83
Nitin Saxena,Startup,Canada,3286,11033,7,3,36,6,3,3,15,280,32,49,131,3.01,29-01-2024,Monthly,Video,13,2,2,Finance,Neutral,6.01
Shweta Bhattacharya,Google,USA,2924,8226,1,2,26,9,4,1,16,442,87,23,83,2.57,30-01-2024,Daily,Video,6,1,2,Healthcare,Negative,91.21
Pooja Choudhary,Google,Canada,1699,9954,6,2,37,8,1,3,1,370,57,34,414,2.04,31-01-2024,Rarely,Video,13,3,0,Finance,Positive,40.13
Sandeep Patil,Microsoft,Germany,1488,11272,5,1,31,9,2,2,12,53,4,17,182,0.76,01-02-2024,Daily,Article,2,3,2,Healthcare,Neutral,6.56
Neha Malhotra,Microsoft,Canada,1942,10953,6,2,25,5,0,1,11,31,85,12,105,8.09,02-02-2024,Daily,Image,7,3,1,Tech,Positive,65.06
Nidhi Goel,Facebook,Canada,4005,19237,6,3,46,2,2,3,3,228,74,24,296,4.15,03-02-2024,Daily,Image,23,1,0,Finance,Negative,73.65
Pallavi Thakur,Google,Canada,4516,6892,13,1,25,7,4,4,3,495,22,19,109,3.71,04-02-2024,Daily,Video,4,2,2,Marketing,Positive,26
Shweta Bhattacharya,Facebook,Germany,399,17173,4,3,33,8,0,2,8,316,63,10,324,7.62,05-02-2024,Rarely,Article,13,3,1,Finance,Positive,4.37
Tanvi Agarwal,Google,UK,1574,1555,3,3,9,0,3,2,14,41,37,19,196,2.5,06-02-2024,Monthly,Article,10,3,0,Marketing,Negative,47.37
Sneha Joshi,Startup,Canada,308,16391,10,2,28,1,1,2,9,281,60,32,444,7.31,07-02-2024,Daily,Image,7,2,0,Education,Positive,50.7
Rajesh Gupta,Facebook,India,1134,13954,7,4,17,8,2,3,11,77,92,8,386,1.42,08-02-2024,Weekly,Video,7,2,2,Consulting,Neutral,98.97
Ananya Kapoor,Startup,USA,4817,8911,3,1,22,4,2,4,4,107,92,12,22,8.07,09-02-2024,Daily,Video,11,2,1,Finance,Positive,66.58
Yashwant Joshi,Tesla,Australia,3503,3480,7,2,44,1,2,2,17,188,63,9,473,4.41,10-02-2024,Daily,Text,29,3,1,Consulting,Positive,63.07
Varun Bhatia,Facebook,Germany,3747,1968,11,1,47,1,2,3,9,16,69,30,346,5.29,11-02-2024,Rarely,Article,8,2,1,Healthcare,Positive,84
Neha Malhotra,Startup,USA,2623,15210,5,2,19,8,4,4,6,451,92,40,294,8.76,12-02-2024,Weekly,Article,28,3,1,Marketing,Negative,45.56
Kavya Deshmukh,Freelancer,India,1480,3416,11,4,13,5,0,1,15,259,18,28,86,1.79,13-02-2024,Monthly,Video,5,0,1,Marketing,Positive,97.01
Rajesh Gupta,Microsoft,UK,170,11663,9,1,20,6,0,1,4,497,39,1,154,9.46,14-02-2024,Weekly,Video,4,2,0,Finance,Positive,94.88
Varun Bhatia,Facebook,India,1511,19745,12,1,19,1,0,4,5,51,21,16,263,9.1,15-02-2024,Daily,Article,4,0,0,Education,Negative,6.75
Priya Verma,Microsoft,Australia,3970,10061,3,3,26,4,4,4,11,458,90,24,318,8.34,16-02-2024,Monthly,Image,19,0,1,Marketing,Positive,46.99
Neha Malhotra,Google,Australia,4114,314,9,2,49,0,0,2,7,329,77,42,234,8.35,17-02-2024,Weekly,Article,22,3,2,Finance,Negative,67.33
Pooja Choudhary,Freelancer,UK,1630,6387,1,2,7,9,1,1,1,417,16,25,187,2.42,18-02-2024,Rarely,Image,12,0,2,Tech,Negative,28.71
Aditi Chauhan,Freelancer,USA,4131,19947,3,3,19,1,4,3,2,414,54,21,36,9.64,19-02-2024,Monthly,Image,11,2,1,Education,Neutral,1.44
Aakash Sinha,Startup,Australia,1296,7378,11,1,23,9,3,4,14,217,42,33,304,7.42,20-02-2024,Rarely,Image,21,4,2,Consulting,Negative,92.45
Shweta Bhattacharya,Microsoft,India,2377,7240,8,4,6,7,4,4,14,118,12,18,357,9.66,21-02-2024,Weekly,Video,6,1,2,Healthcare,Neutral,62.83
Shweta Bhattacharya,Google,Canada,3644,14228,14,1,28,5,2,4,11,226,80,49,487,6.38,22-02-2024,Monthly,Text,16,4,2,Tech,Negative,95.24
Manish Kulkarni,Startup,Germany,3815,4990,4,4,12,8,4,3,9,483,3,39,88,9.42,23-02-2024,Daily,Article,2,1,2,Finance,Neutral,69.54
Meera Rao,Startup,Canada,3020,19498,5,4,5,4,3,2,4,495,44,48,383,1.43,24-02-2024,Weekly,Article,13,0,1,Consulting,Positive,68.23
Sandeep Patil,Amazon,USA,1317,19114,12,4,34,2,4,4,6,498,14,25,225,1.61,25-02-2024,Monthly,Video,7,2,0,Tech,Negative,62.05
Ritika Jain,Amazon,Canada,4508,11713,6,4,38,0,1,4,15,251,36,41,461,8.84,26-02-2024,Rarely,Text,1,4,2,Healthcare,Neutral,27.67
Manish Kulkarni,Facebook,UK,1622,14584,11,1,20,4,0,3,17,488,39,1,412,4.51,27-02-2024,Weekly,Text,24,3,2,Healthcare,Neutral,2.14
Aakash Sinha,Microsoft,Australia,2772,3520,8,3,36,7,1,2,9,5,67,20,98,4.1,28-02-2024,Weekly,Article,4,3,0,Education,Positive,8.79
Sandeep Patil,Tesla,USA,2732,3878,8,3,6,9,4,1,5,364,60,49,457,9.23,29-02-2024,Monthly,Text,29,3,0,Finance,Neutral,67.47
Harsh Vardhan,Tesla,Australia,3596,10644,8,2,10,5,1,3,7,188,38,46,404,6.48,01-03-2024,Rarely,Image,11,0,0,Education,Negative,92.85
Ritika Jain,Microsoft,Australia,4296,5532,2,3,31,9,4,3,15,104,60,32,41,4.84,02-03-2024,Rarely,Video,4,3,2,Finance,Positive,69.63
Pooja Choudhary,Google,Australia,2502,3370,4,3,49,0,0,1,16,449,7,17,478,5.55,03-03-2024,Monthly,Text,18,1,2,Education,Positive,19.24
Abhishek Tiwari,Google,India,1062,16283,10,4,15,1,1,2,12,454,75,19,274,9.41,04-03-2024,Daily,Text,25,2,2,Consulting,Positive,54.95
Sandeep Patil,Startup,Germany,2450,12694,3,1,14,2,3,1,5,370,38,12,230,5.71,05-03-2024,Weekly,Image,2,1,1,Healthcare,Positive,66.2
Aniket Bose,Microsoft,Australia,4785,853,6,4,36,4,1,1,15,250,79,29,207,7.8,06-03-2024,Rarely,Image,14,4,0,Consulting,Positive,16.68
Yashwant Joshi,Amazon,Australia,4048,9729,2,3,31,6,1,3,6,23,7,26,356,6.16,07-03-2024,Monthly,Text,20,1,0,Finance,Positive,48.37
Sandeep Patil,Google,USA,1008,15989,11,3,17,4,1,3,16,152,61,21,116,7.18,08-03-2024,Daily,Image,20,4,1,Education,Negative,95.71
Abhishek Tiwari,Amazon,USA,1119,113,5,2,27,2,1,2,3,230,51,38,180,6.94,09-03-2024,Daily,Text,1,1,2,Healthcare,Positive,19.63
Nidhi Goel,Freelancer,Canada,2765,11724,14,1,24,5,2,2,14,81,70,40,12,0.55,10-03-2024,Daily,Article,17,0,0,Tech,Positive,59.77
Meera Rao,Facebook,Canada,204,7757,1,1,43,8,1,3,15,247,3,1,475,6.02,11-03-2024,Rarely,Image,4,3,1,Tech,Negative,85.35
Pallavi Thakur,Facebook,Germany,1873,7843,10,3,41,6,0,3,19,305,44,10,267,8.41,12-03-2024,Daily,Text,24,0,1,Tech,Neutral,42.89
Nitin Saxena,Google,India,2272,2283,7,1,21,1,3,3,12,451,13,48,178,5.2,13-03-2024,Rarely,Image,13,4,2,Education,Neutral,98.98
Neha Malhotra,Google,India,2031,5923,2,4,33,3,2,2,15,255,13,17,301,9.43,14-03-2024,Rarely,Video,10,4,0,Consulting,Positive,69.09
Kavya Deshmukh,Amazon,Germany,592,10562,10,2,18,2,3,2,3,238,19,9,63,1.47,15-03-2024,Monthly,Video,8,2,0,Education,Negative,37.53
Ritika Jain,Microsoft,USA,4551,11748,9,3,34,8,3,3,11,448,78,27,306,7.44,16-03-2024,Daily,Image,3,2,0,Finance,Positive,26.35
Siddharth Pandey,Startup,Australia,155,15423,1,1,14,4,0,3,3,152,18,24,228,3.62,17-03-2024,Rarely,Text,5,0,1,Marketing,Positive,12.81
Siddharth Pandey,Microsoft,Germany,2947,19116,2,3,33,8,3,4,2,476,82,43,13,9.75,18-03-2024,Weekly,Text,14,3,0,Healthcare,Negative,85.4
Kavya Deshmukh,Startup,Germany,2353,18385,7,2,13,3,3,3,15,165,95,0,259,8.26,19-03-2024,Monthly,Article,27,2,1,Education,Negative,99.68
Manish Kulkarni,Tesla,USA,3794,12817,8,1,49,3,1,1,17,181,63,31,358,6.71,20-03-2024,Rarely,Video,22,0,2,Consulting,Positive,21.87
Sandeep Patil,Facebook,Germany,1069,16723,6,4,22,4,4,4,18,465,92,31,182,9.79,21-03-2024,Rarely,Image,16,0,0,Education,Positive,29.66
Arjun Reddy,Tesla,UK,3014,5496,14,1,45,4,2,4,19,259,36,45,487,3.53,22-03-2024,Rarely,Image,24,4,2,Marketing,Negative,71.65
Swati Rajan,Tesla,India,179,10049,9,1,25,1,3,3,1,466,17,8,235,5.12,23-03-2024,Daily,Image,22,2,1,Consulting,Negative,86.23
Nitin Saxena,Google,UK,4995,16051,8,4,30,3,2,4,11,210,92,3,73,7.4,24-03-2024,Weekly,Article,8,4,2,Finance,Neutral,16.61
Nitin Saxena,Facebook,Canada,621,15034,12,2,46,6,1,4,5,230,99,42,116,4.79,25-03-2024,Weekly,Text,22,2,2,Consulting,Positive,2.02
Vikram Mehta,Google,Germany,2747,3828,3,1,14,4,2,1,7,149,58,12,356,0.61,26-03-2024,Weekly,Image,15,0,2,Education,Positive,73.09
Yashwant Joshi,Tesla,UK,1823,15389,6,4,34,1,4,1,7,428,26,11,327,1.04,27-03-2024,Daily,Video,4,0,2,Finance,Negative,35.53
Aarav Sharma,Freelancer,India,4372,7215,9,4,12,1,4,4,9,208,15,16,242,0.9,28-03-2024,Daily,Text,2,3,2,Finance,Neutral,73.38
Kavya Deshmukh,Facebook,UK,2682,5554,2,2,5,6,1,2,3,155,46,15,235,6.42,29-03-2024,Daily,Image,28,3,0,Marketing,Negative,27.48
Karthik Nair,Tesla,Canada,4449,6500,14,3,23,1,2,1,13,408,86,19,377,0.56,30-03-2024,Daily,Video,1,0,0,Consulting,Positive,29.76
Shweta Bhattacharya,Google,Australia,3784,1684,7,4,12,6,3,3,16,142,84,10,406,5.97,31-03-2024,Rarely,Video,29,0,2,Education,Neutral,49.62
Divya Menon,Google,Germany,260,15884,8,4,15,3,3,2,15,185,17,11,284,8.63,01-04-2024,Rarely,Text,4,2,0,Marketing,Negative,14.63
Divya Menon,Facebook,Germany,2096,1273,8,1,37,1,4,2,4,198,98,36,354,9.73,02-04-2024,Weekly,Video,13,0,1,Finance,Negative,55.44
Rahul Mishra,Freelancer,UK,2962,2695,6,4,12,6,3,2,12,83,55,40,387,7.93,03-04-2024,Monthly,Image,6,4,1,Consulting,Negative,10
Rohan Iyer,Tesla,USA,1650,9009,1,4,40,9,0,4,12,50,88,40,184,9.65,04-04-2024,Rarely,Image,6,2,0,Healthcare,Positive,94.67
Neha Malhotra,Startup,UK,4645,4177,8,1,8,8,3,1,16,175,74,40,394,0.58,05-04-2024,Daily,Article,7,4,2,Healthcare,Neutral,90.01
Manish Kulkarni,Facebook,Australia,3259,14514,9,2,47,7,0,2,6,29,62,4,129,8.78,06-04-2024,Daily,Text,24,1,0,Finance,Negative,42.65
Sandeep Patil,Google,Australia,224,2203,12,1,22,3,1,3,7,272,68,38,239,8.07,07-04-2024,Daily,Text,1,2,2,Finance,Negative,88.42
Aarav Sharma,Microsoft,India,2438,13523,1,4,29,4,4,1,7,153,42,2,367,2.77,08-04-2024,Rarely,Text,4,3,0,Marketing,Neutral,36.23
Rajesh Gupta,Google,Australia,4140,8218,14,4,23,8,3,1,9,377,51,47,380,0.82,09-04-2024,Daily,Video,17,2,2,Education,Positive,24.75
Pooja Choudhary,Amazon,USA,584,15629,5,2,41,9,4,4,1,296,73,27,165,1.68,10-04-2024,Rarely,Video,17,1,0,Marketing,Positive,25.47
Isha Bansal,Tesla,Canada,4611,10540,9,3,16,6,1,2,5,412,20,38,296,3.77,11-04-2024,Monthly,Video,16,4,2,Consulting,Negative,96.03
Yashwant Joshi,Startup,UK,4021,11501,1,4,34,3,0,3,18,125,1,21,311,7.81,12-04-2024,Weekly,Text,27,4,1,Healthcare,Negative,85.61
Aarav Sharma,Tesla,UK,3007,11798,2,1,36,7,1,3,12,236,75,7,302,6.87,13-04-2024,Monthly,Video,5,0,2,Finance,Neutral,62.25
Abhishek Tiwari,Google,India,416,1520,6,4,43,8,1,4,6,61,79,30,399,2.35,14-04-2024,Weekly,Article,23,3,2,Tech,Neutral,99.92
Priya Verma,Facebook,India,1170,14699,9,4,20,7,0,1,13,460,3,47,297,8.74,15-04-2024,Weekly,Video,20,3,1,Marketing,Negative,76
Tanvi Agarwal,Google,UK,753,15224,7,4,5,5,0,3,2,52,54,43,23,7.41,16-04-2024,Monthly,Text,3,0,0,Education,Neutral,44.31
Divya Menon,Facebook,India,1739,4562,7,4,34,1,0,4,16,355,32,10,117,7.54,17-04-2024,Monthly,Image,7,4,1,Finance,Positive,16.09
Nidhi Goel,Amazon,Australia,3364,2956,10,3,43,9,3,4,6,246,16,1,234,7.16,18-04-2024,Rarely,Image,27,0,2,Tech,Neutral,62.73
Aditi Chauhan,Tesla,Germany,3624,13689,14,1,28,1,3,1,9,267,8,12,119,5.96,19-04-2024,Daily,Article,23,0,2,Tech,Negative,2.32
Harsh Vardhan,Freelancer,USA,2302,19188,10,3,18,6,0,2,12,348,96,8,43,4.74,20-04-2024,Daily,Video,21,4,0,Marketing,Negative,28.18
Siddharth Pandey,Google,India,619,5686,6,2,19,8,2,4,3,99,71,28,399,9.76,21-04-2024,Monthly,Article,8,2,2,Marketing,Positive,76.81
Aniket Bose,Startup,Canada,2870,1496,10,2,8,9,1,3,11,305,57,25,101,8.14,22-04-2024,Rarely,Article,17,4,1,Healthcare,Positive,52.96
Neha Malhotra,Freelancer,USA,2940,13977,5,1,28,0,1,2,4,294,55,41,416,9.46,23-04-2024,Rarely,Text,1,1,1,Education,Negative,23.48
Varun Bhatia,Tesla,Canada,3065,528,1,3,46,6,3,1,19,389,85,35,178,7.31,24-04-2024,Monthly,Image,1,3,1,Education,Neutral,56.84
Ananya Kapoor,Startup,Canada,3918,4726,14,2,19,7,2,4,18,61,4,38,451,4.4,25-04-2024,Weekly,Video,12,3,0,Tech,Neutral,70.39
Pallavi Thakur,Amazon,Australia,4728,14660,11,3,7,5,0,4,13,141,27,2,94,8.3,26-04-2024,Daily,Image,17,4,2,Marketing,Negative,87.59
Siddharth Pandey,Facebook,India,1158,11168,1,3,18,7,3,2,19,401,16,19,111,6.85,27-04-2024,Daily,Text,18,3,1,Consulting,Negative,77.54
Priya Verma,Microsoft,USA,4409,5665,2,4,36,6,4,1,19,366,76,40,59,9.17,28-04-2024,Monthly,Image,11,4,1,Marketing,Neutral,81.94
Pallavi Thakur,Amazon,Germany,3934,7298,3,3,33,8,2,1,12,422,87,31,288,2.58,29-04-2024,Weekly,Article,28,4,1,Finance,Negative,58.11
Simran Kaur,Amazon,India,4873,14004,3,3,33,6,1,1,18,474,83,13,202,5.86,30-04-2024,Daily,Article,13,3,1,Education,Positive,23.48
Swati Rajan,Freelancer,Germany,4713,14439,5,2,16,0,2,1,16,306,62,23,258,8.49,01-05-2024,Monthly,Image,19,2,0,Tech,Neutral,56.09
Aarav Sharma,Freelancer,UK,2474,9670,5,1,23,9,3,4,12,49,56,9,348,5.28,02-05-2024,Rarely,Video,26,3,2,Finance,Neutral,31.32
Meera Rao,Facebook,India,1243,16140,9,1,39,9,1,4,18,342,68,10,384,3.68,03-05-2024,Daily,Image,8,3,1,Education,Negative,3.32
Tanvi Agarwal,Google,Germany,640,15294,12,1,14,3,3,1,16,214,76,49,304,0.59,04-05-2024,Daily,Video,20,0,0,Education,Negative,82.48
Ananya Kapoor,Facebook,USA,4828,9489,8,2,10,7,3,4,11,477,3,31,103,7.52,05-05-2024,Monthly,Article,16,1,1,Marketing,Positive,52.87
Varun Bhatia,Startup,Germany,4319,3143,13,3,27,8,3,1,11,26,2,41,66,4.63,06-05-2024,Rarely,Video,17,4,2,Consulting,Positive,76.89
Harsh Vardhan,Facebook,Canada,430,7380,12,1,18,4,1,1,18,458,75,39,420,4.13,07-05-2024,Weekly,Image,5,3,1,Consulting,Neutral,41.72
Nidhi Goel,Google,Australia,1779,13195,7,3,42,5,1,4,7,488,10,10,48,1.58,08-05-2024,Daily,Image,10,2,1,Consulting,Positive,1.35
Rohan Iyer,Tesla,India,3788,168,7,1,26,0,0,3,19,424,37,23,287,5.62,09-05-2024,Rarely,Image,13,2,0,Tech,Neutral,57.75
Rohan Iyer,Facebook,USA,4022,10154,13,4,34,2,4,1,6,410,19,6,223,2.63,10-05-2024,Weekly,Video,23,0,0,Consulting,Negative,58.55
Isha Bansal,Freelancer,USA,4350,18642,6,3,44,6,0,2,2,226,2,32,337,4.57,11-05-2024,Daily,Article,3,1,0,Healthcare,Neutral,21.95
Pooja Choudhary,Google,Australia,2142,1129,7,3,14,8,3,2,14,402,96,48,490,2.44,12-05-2024,Monthly,Article,1,1,1,Tech,Positive,54.45
Aniket Bose,Google,India,3438,5505,12,3,31,8,1,4,9,288,18,32,210,7.12,13-05-2024,Rarely,Text,17,0,0,Consulting,Neutral,87.58
Pallavi Thakur,Facebook,Canada,3948,15558,12,2,39,4,3,4,18,51,41,43,258,5,14-05-2024,Monthly,Text,5,2,1,Finance,Neutral,6.74
Yashwant Joshi,Tesla,Australia,2519,19305,3,4,18,0,3,2,13,401,0,41,415,9.62,15-05-2024,Rarely,Text,22,0,1,Education,Positive,60.41
Ananya Kapoor,Google,India,3554,2110,12,3,23,8,1,1,14,423,57,28,221,4.69,16-05-2024,Weekly,Image,9,4,1,Education,Positive,54.33
Tanvi Agarwal,Facebook,USA,2377,9780,1,2,39,6,3,2,9,412,92,26,65,8.15,17-05-2024,Daily,Image,23,2,1,Consulting,Negative,36.26
Abhishek Tiwari,Microsoft,India,2869,10063,6,4,48,3,4,2,5,367,40,2,247,4.51,18-05-2024,Rarely,Article,2,4,2,Tech,Positive,45.96
Meera Rao,Startup,Germany,4284,13942,4,4,7,0,0,2,10,66,24,4,192,7.3,19-05-2024,Rarely,Image,13,2,2,Healthcare,Positive,30.87
Sneha Joshi,Amazon,Australia,2813,6202,14,2,40,6,1,4,13,361,73,24,99,7.49,20-05-2024,Daily,Image,8,1,1,Marketing,Positive,35.09
Aakash Sinha,Startup,Canada,2855,12410,12,2,42,0,2,3,9,342,19,19,441,3.82,21-05-2024,Rarely,Image,2,0,0,Marketing,Neutral,28.29
Abhishek Tiwari,Google,USA,1826,1811,14,4,29,4,3,2,18,60,27,17,481,1.33,22-05-2024,Rarely,Article,29,2,1,Tech,Neutral,17.61
Abhishek Tiwari,Microsoft,Germany,2620,7932,9,4,28,9,2,1,2,255,24,48,120,1.04,23-05-2024,Monthly,Article,18,2,2,Education,Neutral,75.49
Sneha Joshi,Amazon,Australia,2310,7368,10,1,21,0,0,3,6,210,29,24,186,4.77,24-05-2024,Weekly,Text,14,2,2,Marketing,Positive,28.55
Abhishek Tiwari,Facebook,Canada,1227,6558,4,2,7,2,3,3,1,220,64,21,101,2.74,25-05-2024,Rarely,Text,17,0,1,Consulting,Neutral,80.9
Kavya Deshmukh,Amazon,Australia,407,1190,13,1,28,7,2,2,3,266,11,16,15,8.07,26-05-2024,Rarely,Text,15,0,2,Healthcare,Neutral,52.22
Karthik Nair,Microsoft,USA,4615,2078,7,3,43,3,0,3,1,112,62,44,353,7.63,27-05-2024,Weekly,Text,9,4,1,Tech,Positive,84.86
Siddharth Pandey,Tesla,Australia,3633,15219,14,4,47,9,2,1,13,286,35,34,32,4.15,28-05-2024,Daily,Video,4,4,1,Finance,Neutral,2.12
Pooja Choudhary,Startup,USA,3947,11761,1,4,15,0,3,1,17,125,57,4,209,6.33,29-05-2024,Weekly,Image,12,2,2,Education,Neutral,41.4
Nidhi Goel,Facebook,USA,3941,10607,4,2,25,7,4,1,6,424,57,20,288,2.03,30-05-2024,Monthly,Text,6,3,1,Finance,Positive,8.71
Rajesh Gupta,Tesla,USA,1662,5504,11,2,15,7,3,2,14,359,86,18,324,7.35,31-05-2024,Rarely,Video,22,0,2,Healthcare,Positive,45.61
Nidhi Goel,Tesla,Canada,1554,11964,9,1,32,5,2,3,17,15,12,7,308,1.02,01-06-2024,Weekly,Image,26,0,2,Consulting,Negative,95.96
Siddharth Pandey,Startup,Australia,160,9299,4,4,33,0,4,4,13,174,53,35,302,2.41,02-06-2024,Rarely,Text,9,4,0,Healthcare,Neutral,86.85
Aniket Bose,Amazon,Canada,1531,10023,6,4,37,9,4,2,9,474,81,37,327,5.83,03-06-2024,Monthly,Video,16,4,2,Tech,Neutral,79.12
Aakash Sinha,Freelancer,India,580,12423,2,1,18,7,4,3,9,18,91,16,281,5.97,04-06-2024,Rarely,Video,3,3,0,Healthcare,Neutral,14.79
Ananya Kapoor,Facebook,Canada,3999,7900,11,2,41,1,2,3,3,389,27,1,288,2.01,05-06-2024,Daily,Video,29,0,0,Marketing,Positive,19.7
Rohan Iyer,Tesla,USA,536,19027,4,3,12,0,4,2,10,196,3,39,356,2.87,06-06-2024,Daily,Video,11,0,0,Tech,Neutral,83.61
Isha Bansal,Google,Australia,2758,2749,4,4,29,6,1,3,2,166,34,44,315,3.63,07-06-2024,Daily,Image,18,3,1,Finance,Neutral,51.82
Sandeep Patil,Microsoft,Australia,4698,5297,10,1,13,2,3,2,10,310,79,18,421,4.58,08-06-2024,Weekly,Article,17,2,1,Marketing,Positive,25.91
Rajesh Gupta,Facebook,USA,1529,11752,14,4,29,0,4,2,18,46,37,25,446,9.02,09-06-2024,Weekly,Image,7,3,0,Education,Positive,39.5
Harsh Vardhan,Amazon,USA,4034,8393,7,3,12,3,4,2,18,304,43,3,333,6.37,10-06-2024,Daily,Text,21,4,0,Tech,Neutral,61.12
Sneha Joshi,Google,USA,2405,3172,1,4,48,8,2,4,16,91,76,16,170,8.13,11-06-2024,Rarely,Text,7,1,1,Education,Negative,86.49
Harsh Vardhan,Facebook,Canada,570,11007,5,4,46,9,2,4,14,347,69,35,192,8.82,12-06-2024,Weekly,Article,10,1,2,Tech,Neutral,50.98
Siddharth Pandey,Freelancer,Canada,4626,13511,2,3,45,4,0,1,8,245,81,38,81,9.5,13-06-2024,Monthly,Text,7,2,0,Tech,Negative,60.74
Meera Rao,Startup,India,2354,2589,6,4,15,9,2,3,6,433,29,8,308,8.12,14-06-2024,Daily,Image,26,4,1,Education,Negative,54.65
Divya Menon,Tesla,USA,894,1636,10,1,32,5,4,4,11,399,44,46,340,4.54,15-06-2024,Rarely,Article,18,1,1,Marketing,Neutral,69.03
Nitin Saxena,Google,Germany,292,2201,2,4,43,5,0,3,16,74,88,4,122,0.59,16-06-2024,Daily,Text,16,1,2,Education,Neutral,52.1
Manish Kulkarni,Amazon,Canada,55,412,5,2,49,9,2,2,3,427,49,49,465,9.75,17-06-2024,Monthly,Article,27,4,0,Healthcare,Neutral,36.34
Pallavi Thakur,Amazon,Germany,3278,18340,6,3,48,0,1,1,6,176,51,24,23,3.5,18-06-2024,Monthly,Image,28,0,2,Consulting,Positive,30.13
Tanvi Agarwal,Microsoft,USA,3827,3028,14,1,42,9,4,4,1,297,77,16,314,6.04,19-06-2024,Rarely,Article,21,0,1,Tech,Neutral,26.64
Vikram Mehta,Tesla,Canada,950,6906,3,2,17,3,2,4,18,389,89,43,16,5.69,20-06-2024,Daily,Image,1,4,0,Marketing,Positive,11.54
Aarav Sharma,Tesla,Australia,2907,3827,13,2,37,9,1,1,9,130,69,11,498,9.18,21-06-2024,Daily,Image,16,2,0,Consulting,Neutral,27.33
Simran Kaur,Facebook,Canada,529,6874,12,3,38,9,3,2,5,471,4,0,132,7.06,22-06-2024,Weekly,Video,11,0,0,Education,Positive,51.3
Isha Bansal,Google,UK,4762,960,10,4,31,1,1,4,3,365,62,2,427,7.01,23-06-2024,Daily,Text,6,4,0,Healthcare,Positive,69.61
Rohan Iyer,Facebook,Australia,3158,7076,2,3,38,4,3,4,4,483,25,25,247,8.07,24-06-2024,Monthly,Video,6,0,2,Marketing,Negative,25.63
Pallavi Thakur,Freelancer,India,2834,12254,3,2,33,2,4,4,7,477,30,13,66,1.42,25-06-2024,Weekly,Image,26,4,1,Healthcare,Positive,19.51
Pallavi Thakur,Microsoft,India,4273,8336,14,2,46,8,4,3,7,154,96,42,68,0.6,26-06-2024,Monthly,Article,25,0,1,Healthcare,Positive,95.73
Rajesh Gupta,Tesla,UK,1105,7393,8,2,34,9,4,2,15,355,59,22,189,3.73,27-06-2024,Weekly,Video,14,3,1,Finance,Positive,16.28
Meera Rao,Google,Canada,4361,13622,2,4,10,9,1,3,7,367,94,14,366,7.45,28-06-2024,Rarely,Text,13,4,1,Finance,Positive,89.35
